name,lon,lat
LA HALLE AUX CHAUSSURES METZ MONDELANGE,49.26039,6.17232
LA HALLE AUX CHAUSSURES LONGWY AUCHAN,49.546744,5.808703
LA HALLE AUX CHAUSSURES LONGWY INTERMARCHE,49.515573,5.752081
LA HALLE BRIEY,49.25515,5.9469
LA HALLE CHAUSSURES & MAROQUINERIE DE MONT MARSAN,43.8818198,-0.5192546
MONT DE MARSAN,43.8818198,-0.5192546
LA HALLE SAINT-PAUL-LÃS-DAX,43.73075,-1.03942
LA HALLE AIRE-SUR-L'ADOUR,43.73404,-0.266575
LA HALLE PESSAC,44.782975,-0.63771
LA HALLE AUX CHAUSSURES BEGLES ATAC,44.7921405,-0.552046
LA HALLE AUX CHAUSSURES BIGANOS,44.63802,-0.95848
LA HALLE BORDEAUX - MÃRIGNAC,44.831154999999995,-0.6678299999999999
LA HALLE AUX CHAUSSURES BORDEAUX BOULIAC,44.81498,-0.52648
LA HALLE SAINT-MÃDARD-EN-JALLES,44.88314,-0.691655
LA HALLE CHAUSSURES ET MAROQUINERIE BORDEAUX LAC,44.8583555,-0.570597
LA HALLE GUJAN-MESTRAS,44.61591,-1.07511
LA HALLE VETEMENTS - CHAUSSURES CREON,44.774333999999996,-0.340533
LA HALLE SAINTE-EULALIE,44.90812666666667,-0.4868966666666667
LA HALLE AUX CHAUSSURES Le Pian en Medoc,44.95697,-0.6297
LA HALLE LANGON,44.544735,-0.24213
LA HALLE BISCAROSSE,44.41104,-1.16704
LA HALLE AUX CHAUSSURES LIBOURNE,44.90422,-0.22392
LA HALLE CHALLANS,46.852255,-1.890235
LA HALLE AUX CHAUSSURES LA GUERINIERE,46.97458,-2.24231
LA HALLE AUX CHAUSSURES CHÃTEAU D'OLONNE,46.48774,-1.74946
LA HALLE AUX CHAUSSURES LA ROCHE SUR YON CARREFOUR,46.657405499999996,-1.4307509999999999
La HALLE TRIGNAC,47.300415,-2.2115
LA HALLE REDON,47.67381,-2.0661
LA HALLE AUX CHAUSSURES GUERANDE,47.32721,-2.41447
LA HALLE AUX CHAUSSURES PORNIC,47.12689,-2.12327
LA HALLE AUX CHAUSSURES NANTES ST HERBLAIN,47.236755,-1.619795
LA HALLE NANTES - REZÃ,47.19498,-1.57328
LA HALLE AUX CHAUSSURES NANTES LA BOTTIERE,47.237584,-1.524431
LA HALLE SAINT-SÃBASTIEN-SUR-LOIRE,47.1935,-1.4916049999999998
LA HALLE VANNES,47.66206,-2.7858466666666666
LA HALLE AUX CHAUSSURES NANTES BASSE GOULAINE,47.1874,-1.4715
LA HALLE BRESSUIRE,46.8341,-0.48325
LA HALLE AUX CHAUSSURES LES HERBIERS,46.87923,-1.01951
LA HALLE VETEMENTS - CHAUSSURES CHANTONNAY,46.680949,-1.049323
LA HALLE AUX CHAUSSURES FONTENAY LE COMTE,46.456950000000006,-0.814435
LA HALLE CHOLET,47.074735000000004,-0.84624
LA HALLE AUX CHAUSSURES PARTHENAY,46.64821,-0.2278
LA HALLE AUX CHAUSSURES LUCON,46.45999,-1.14656
LA HALLE AUX CHAUSSURES ANGERS ROSERAIE,47.46212566666667,-0.5675626666666667
LA HALLE AUX CHAUSSURES ANGERS ST BARTHELEMY,47.46863,-0.51898
LA HALLE STE GEMMES,47.68999,-0.89317
LA HALLE AUX CHAUSSURES ST GEREON,47.37255,-1.19078
LA HALLE AUX CHAUSSURES SAUMUR INTER,47.27768,-0.0623
LA HALLE AUX CHAUSSURES LA FLECHE,47.70484125,-0.05134077
LA HALLE AUX CHAUSSURES CHATEAUBRIANT LECLERC,47.70516,-1.39298
LA HALLE RENNES - PACÃ,48.13928,-1.76935
LA HALLE AUX CHAUSSURES RENNES VEZIN COQUET,48.105714,-1.741393
LA HALLE RENNES - SAINT-GRÃGOIRE,48.137398899999994,-1.68684065
LA HALLE DINAN - QUÃVERT,48.4481555,-2.075287
LA HALLE AUX CHAUSSURES RENNES CHANTEPIE,48.084765000000004,-1.627205
LA HALLE AUX CHAUSSURES RENNES CESSON,48.111172,-1.59045
LA HALLE LAMBALLE,48.4620245,-2.515829
LA HALLE LOUDEAC,48.190075,-2.761335
LA HALLE LANGUEUX,48.497138,-2.725606
LA HALLE AUX CHAUSSURES ST MALO,48.62492,-1.98737
LA HALLE PLEURTUIT,48.596914999999996,-2.059723
